"manufacturer" "model" "description" "euro_standard" "transmission_type" "engine_capacity" "fuel_type" "urban_metric" "extra_urban_metric" "combined_metric" "noise_level" "co2" "co_emissions" "nox_emissions"
"Vauxhall" "Insignia 5 Door Sport Tourer, Model Year 2012" "2.0CDTi 160PS SRI NAV" "5" "Manual" 1956 "Diesel" 7.9 4.9 6 72 159 168 144
"Toyota" "Prius" "1.5 VVT-i Hybrid" "4" "Automatic" 1497 "Hybrid" 5 4.2 4.3 69 104 180 10
"Skoda" "New Octavia Estate" "2.0 CR TDI 170ps DPF vRS Limited Edition" "4" "Manual" 1968 "Diesel" 7.9 4.8 5.9 73 155 355 121
"Audi" "A3" "2.0 TDI 170PS Stop-Start" "5" "Manual" 1968 "Diesel" 5.7 4.2 4.7 72 123 353 120
"Citroen" "Xsara" "Xsara 1.6i 16v" "3" "Automatic" 1587 "Petrol" 10.9 5.6 7.6 73.4 180 900 100
"Honda" "Civic Hybrid, Model Year 2010" "1.4 IMA ES Saloon" "5" "Automatic" 1339 "Hybrid" 5.2 4.3 4.6 68 109 190 12
"Ford" "Focus 2004ﾽ Model Year Onwards" "1.6i 16V 3/5 Door Saloon (14 inch tyre)" "3" "Automatic" 1596 "Petrol" 10.9 6.1 7.8 70 188 588 77
"Audi" "A3 Sportback" "2.0 TDI 140ps DPF" "5" "Manual" 1968 "Diesel" 6.6 4.3 5.1 72 134 177.2 121.6
"Mercedes-Benz" "B-Class (245) Saloon Model Year 2009" "B 200 CDI with DPF 215 Tyres at rear" "4" "Manual" 1992 "Diesel" 7.1 4.6 5.6 73 148 259 187
"Ford" "New Mondeo" "2.0i 16V 4 Door Saloon LX" "3" "Manual" 1999 "Petrol" 11.3 5.9 7.9 72 190 300 100
"Vauxhall" "Meriva MY2009" "1.6i 16v Twinport 105PS" "4" "Manual" 1598 "Petrol" 8.9 5.4 6.7 71 159 310 33
"Renault" "Grand Espace (J66) (all versions and trim levels)" "2.0 16V From VIN  JE0LL2" "3" "Automatic" 1998 "Petrol" 12.9 7.4 9.4 73.1 223 163 18
"Vauxhall" "New Astra, MY2005" "1.7CDTi 16v 100PS 5 Door Estate +15\" tyre" "4" "Manual" 1686 "Diesel" 6.4 4.2 5 70 135 386 194
"Toyota" "Prius Plus, MY2012" "T Spirit 1.8 VVT-i hybrid E-CVT" "5" "Automatic" 1798 "Hybrid" 4.3 4.3 4.4 68 101 101 6
"Corvette" "ZR1, Model Year 2012" "6.2L V8 (MH3)" "5" "Manual" 6162 "Petrol" 21 10.8 14.5 74 342 886 6
"Volkswagen" "Golf Estate" "1.8T (150 bhp)" "4" "Manual" 1781 "Petrol" 10.9 6.4 8.1 71 194 667 30
"Smart" "Fortwo Coupé" "50 bhp 195 rear tyres" "4" "Automatic" 698 "Petrol" 6.1 4.2 4.9 74 118 810 39
