"manufacturer" "model" "description" "euro_standard" "transmission_type" "engine_capacity" "fuel_type" "urban_metric" "extra_urban_metric" "combined_metric" "noise_level" "co2" "co_emissions" "nox_emissions"
"Mercedes-Benz" "CLK Coupé (C209)" "CLK 220 CDI no DPF 225 Tyres at rear" "4" "Automatic" 2148 "Diesel" 9.1 5.6 6.8 71 180 76 220
"Lexus" "LS" "LS600h LWB" "5" "Automatic" 4969 "Hybrid" 11.3 8 9.3 71.2 219 295 15.9
"Chevrolet" "Aveo" "1.4 LT 5 door Hatchback" "4" "Manual" 1399 "Petrol" 7.9 4.7 5.9 70.8 140 670 20
"Mercedes-Benz" "C-Class Saloon (W204)" "C 230 205 Tyres at rear" "4" "Automatic" 2496 "Petrol" 13.1 6.8 9.1 72 217 258 11
"Nissan" "Micra" "1.2 from September 2007" "4" "Automatic" 1240 "Petrol" 8.2 5.7 6.6 71 159 705 28
"Mercedes-Benz" "C-Class (204) Saloon Model Year 2009" "C 180 BlueEFFICIENCY 225/245 Tyres at rear" "4" "Manual" 1597 "Petrol" 8.8 5.4 6.6 73 158 487 11
"Volkswagen" "Touareg , Model Year 2011" "3.0 V6 TSI Hybrid 333PS" "5" "Automatic" 2995 "Hybrid" 8.7 7.9 8.2 75 193 220 45
"Mercedes-Benz" "E-Class Saloon, Model Year 2011" "E 350 BLUETEC with 18\" & 19\" rear wheels" "6" "Automatic" 2987 "Diesel" 10 5.6 7.2 72 188 347 64
"Fiat" "New Doblo" "2.0 MultiJet" "5" "Manual" 1956 "Diesel" 6.7 5.1 5.7 74.5 150 225 177
"Mercedes-Benz" "E Class (W211) Saloon" "E220 CDI (225 Tyres)" "3" "Automatic" 2148 "Diesel" 8 5 6.1 72 162 94 447
"Saab" "9-3, MY2006 5 Door Estate" "1.9 TIDS (150 bhp)" "4" "Manual" 1910 "Diesel" 7.8 4.8 5.9 73 159 91 187
"Toyota" "Yaris" "2009 1.3 SR VVT-i" "4" "Manual" 1329 "Petrol" 6.2 4.5 5.1 71.5 120 240 20
"Hyundai" "ix35" "2.0l CRDi 4x4 (17 inch wheels)" "5" "Automatic" 1995 "Diesel" 9.1 6 7.1 73 187 279 133
"BMW" "1 Series E81/E82/E87/E88" "118i 5-door" "4" "Manual" 1995 "Petrol" 7.9 4.7 5.9 73 140 49 26
"BMW" "5 Series E60/E61" "520i Saloon - up to February 2005" "3" "Automatic" 2171 "Petrol" 13.9 7.5 9.8 69 237 290 58
"Citroen" "Xsara" "Xsara 2.0 HDi 110 hp Estate" "3" "Manual" 1997 "Diesel" 7.1 4.3 5.3 72.6 141 383 412
"Vauxhall" "Astra, Model Year 2001" "1.7 DTi 16v Hatch/Saloon" "3" "Manual" 1686 "Diesel" 6.1 4 4.8 72 130 117 421
"Honda" "Insight, Model Year 2010" "1.3 IMA ES 5 door" "5" "Automatic" 1339 "Hybrid" 4.7 4.5 4.6 67 105 60 7
"Skoda" "Octavia Hatchback" "1.6 TDI 105PS" "5" "Manual" 1598 "Diesel" 5.7 3.9 4.5 69 119 275 131
"Skoda" "Octavia Hatchback" "2.0 FSI 150bhp Tiptronic" "4" "Automatic" 1984 "Petrol" 11.8 6.3 8.3 73 198 179 43
"Mercedes-Benz" "A-Class (W169) 5 Door MY09" "A 170 215 Tyres at rear" "4" "Automatic" 1699 "Petrol" 9 6 7.1 71 169 339 5
"Volkswagen" "New Golf, 2013" "1.6 TDI 90PS 3 & 5 door" "5" "Manual" 1598 "Diesel" 4.6 3.3 3.8 71 98 98 118
"Volkswagen" "Passat Estate" "1.9 TDI PD (100 bhp)" "3" "Automatic" 1896 "Diesel" 9.7 5.5 7 72 189 160 422
"Mercedes-Benz" "E-Class (S210) Estate" "E220 CDI (265 Tyres)" "3" "Manual" 2148 "Diesel" 9.7 5.7 7.2 74 191 100 400
"Mercedes-Benz" "C-Class Estate (S204)" "C 230 225/245/255 Tyres at rear" "4" "Manual" 2496 "Petrol" 13.6 7.1 9.5 74 226 179 11
"Toyota" "Prius Model Year 2009" "TSpirit with Solar Panel 1.8VVT-i hybrid E-CVT" "5" "Automatic" 1798 "Hybrid" 3.9 3.7 3.9 69 89 258 5.8
"BMW" "5 Series F10/F11 From March 2010" "520d Touring - 245/45 R18 tyres front & rear" "6" "Automatic" 1995 "Diesel" 5.9 4.7 5.2 73 136 175 41
"Smart" "Fortwo Coupé Model Year 2008" "45 kW 175/195 Tyres at rear" "4" "Automatic" 999 "Petrol" 6.1 4 4.7 72 112 300 12
"Chrysler Jeep" "08MY Chrysler PT Cruiser" "2.4 Hatchback" "4" "Manual" 2429 "Petrol" 13 7.3 9.4 74 223 535 7
"Honda" "Civic Model Year 2010" "2.2 i-CTDi Type S GT-T 3 Door" "4" "Manual" 2204 "Diesel" 6.6 4.3 5.1 71 136 101 164
"Volkswagen" "New Passat Saloon" "1.6 FSI Tiptronic (115 PS)" "4" "Automatic" 1598 "Petrol" 10.7 6.4 7.9 69 190 163 61
"Alfa Romeo" "159 Sportwagon" "1.9 JTDM 16v" "4" "Manual" 1910 "Diesel" 8 4.8 6 74 159 475 220
"Renault" "New Mégane Coupé" "dCi 160 FAP" "5" "Manual" 1995 "Diesel" 7.5 5 5.9 72.1 155 391 161
"Lexus" "RX, MY2012" "RX450h Premier" "5" "Automatic" 3456 "Hybrid" 6.5 6 6.3 71.6 145 245 7
"Volvo" "S80 Model Year 06" "2.0 T" "4" "Manual" 1984 "Petrol" 12.5 6.9 9 69 214 166 11
"Honda" "Civic Model Year 2010" "1.8 i-VTEC SE-T 5 Door" "4" "Automatic" 1799 "Petrol" 9.8 5.6 7.1 70 165 382 6
"SsangYong" "Rexton" "RX290 SE Manual" "3" "Manual" 2874 "Diesel" 12.5 7.2 9.3 74.1 244 660 470
"Mazda" "MX-5 (2009MY)" "2.0 5 speed" "4" "Manual" 1999 "Petrol" 10.1 5.8 7.4 71 177 220 10
"Mercedes-Benz" "CLS-Class, Model Year 2013" "CLS 350 with 18\" rear wheels ECO Start/Stop" "5" "Automatic" 3498 "Petrol" 9.2 5.5 6.9 73 161 67 8
"Volkswagen" "Eos" "1.4 TSI (122ps)" "5" "Manual" 1390 "Petrol" 8.6 5.4 6.6 71 152 460.1 27.6
"Ford" "New Fiesta" "1.4i (15/16 inch tyres)" "3" "Manual" 1388 "Petrol" 8.8 5.4 6.7 70 158 562 26
"Vauxhall" "New Astra, MY2005" "1.4i 16v 5 Door Hatchback" "4" "Manual" 1364 "Petrol" 8.2 5.2 6.3 71 151 192 53
"Peugeot" "308 SW" "1.6 VTi 120 Automatic" "5" "Automatic" 1598 "Petrol" 10 5.5 7.2 73.7 166 745 34
"Ford" "Focus, Model Year Post 2010¼" "1.6 Duratec (100PS) 5 Door Saloon" "4" "Automatic" 1596 "Petrol" 10.6 6 7.7 70 184 250 60
"Nissan" "370Z" "3.7 V6 Coupé" "5" "Automatic" 3696 "Petrol" 15.3 7.8 10.5 70.5 245 146 22
"Peugeot" "2008" "1.6 VTi 120" "5" "Manual" 1598 "Petrol" 9.3 5.5 6.9 72.8 159 380 16
"Vauxhall" "Meriva, MY2004" "1.6 16v Design 5 Door From VIN: W0L0XCE7544287294" "4" "Manual" 1598 "Petrol" 10.2 5.9 7.5 70 180 365 11
"Vauxhall" "Omega, Model Year 2001" "2.6i V6 24v Estate" "3" "Manual" 2597 "Petrol" 15 8.2 10.7 74 257 522 66
"Audi" "New A4 Avant" "2.0 TFSI 210PS" "4" "Manual" 1984 "Petrol" 9.1 5.4 6.8 74 160 278 25
"Volkswagen" "Lupo" "1.6 16v GTI (125 bhp)" "4" "Manual" 1598 "Petrol" 10.5 5.6 7.4 74 178 293 40
"Audi" "A4 Saloon" "2.0 TFSI 220ps Special Edition" "4" "Manual" 1984 "Petrol" 11.2 6.2 8 73 192 666 29
"Audi" "Audi A4 (S, SE & Sport)" "3.0 V6 Quattro (220 bhp)" "4" "Manual" 2976 "Petrol" 15 8.1 10.6 72 254 451 52
"Seat" "Leon (from NOV 06 Wk 45 >)" "1.6 (102 PS)" "4" "Manual" 1595 "Petrol" 10.4 6 7.6 74 183 419 40
"Saab" "9-5 Series 5 Door Estate" "2.3 HOT 250hp B235R 'Aero'" "3" "Manual" 2290 "Petrol" 12.9 6.7 9 71 214 480 10
"Honda" "Accord 4 Door (2001 YM)" "2.0i VTEC SE Executive" "3" "Manual" 1997 "Petrol" 12 6.9 8.8 72 207 820 50
"Volkswagen" "CC" "2.0 TDI CR 140PS DSG BlueMotion Technology" "5" "Automatic" 1968 "Diesel" 6.4 4.7 5.3 69 139 155 122
"Mercedes-Benz" "E-Class Coupé, Model Year 2013" "E 500 with 18\" & 19\" rear wheels" "5" "Automatic" 4663 "Petrol" 12.7 6.8 8.9 70 209 600 28
"Mercedes-Benz" "C-Class Sports Coupé (C203)" "C220 CDI with DPF 205/225 Tyres at rear" "4" "Automatic" 2148 "Diesel" 9.1 5.7 6.9 72 183 51 194
"Mercedes-Benz" "S-Class Limousine, Model Year 2011" "S 350 BLUETEC with 19\" & 20\" rear wheels" "6" "Automatic" 2987 "Diesel" 9.4 5.5 6.9 71 182 255 65
"BMW" "5 Series F10/F11 From March 2010" "535i Touring - 245/40 R19 tyres front & rear" "5" "Manual" 2979 "Petrol" 11.6 6.6 8.5 73 197 194 21
"Saab" "9-5 MY2007 4 Door Saloon" "2.3 LPT" "4" "Manual" 2290 "Petrol" 12.8 6.6 8.9 72 212 217 15
"BMW" "5 Series F10/F11 From March 2010" "520d Touring - 225/55 R17 tyres front & rear" "6" "Manual" 1995 "Diesel" 6 4.5 5 75 133 103 26
"Renault" "Grand Scènic Model Year May 2009 onward" "1.4 TCe" "5" "Manual" 1397 "Petrol" 9.9 5.9 7.4 71.4 170 630 15
"MG Rover Group" "Rover 75 Tourer" "2.5" "3" "Automatic" 2497 "Petrol" 15.6 7.9 10.7 70 255 379 77
"Ford" "New Mondeo, Model Year Post 2011¼" "2.0 Duatorq (140PS) Estate (+DPF)" "5" "Manual" 1997 "Diesel" 6.4 4.6 5.3 70 139 352 161
"Honda" "CR-V 07" "EX" "4" "Manual" 2204 "Diesel" 8.1 5.7 6.5 73.3 173 116 137
"BMW" "3 Series E46" "320d Touring" "3" "Automatic" 1995 "Diesel" 9.9 5.5 7.1 72 190 203 375
"Seat" "Toledo" "1.9 TDI (150 PS) Sport" "3" "Manual" 1896 "Diesel" 7.2 4.4 5.4 73 146 200 400
"BMW" "1 Series 5-door F20 From September 2011" "120d 5-door - 225/40 R18 tyres front / 245/35 R18 tyres rear" "6" "Automatic" 1995 "Diesel" 5.4 4.1 4.6 75 121 115 30
"Mercedes-Benz" "CLK-Class (C208) Coupé" "CLK 430" "3" "Automatic" 4266 "Petrol" 16.7 8.4 11.6 73 278 226 19
"Volvo" "C70 Convertible Model Year 03" "T5" "3" "Manual" 2319 "Petrol" 13.7 7.7 9.9 73 236 700 100
"BMW" "3 Series E90/E91/E92/E93" "M3 Coupé - from March 2010" "5" "Automatic" 3999 "Petrol" 15.9 8.5 11.2 74 263 179 38.6
"Ford" "Focus C-Max Model Year - Post 2009" "2.0 Duratorq TDCi (110ps) (+DPF)" "4" "Automatic" 1997 "Diesel" 8 4.8 5.9 68 159 49 202
"Ford" "S-Max Model Year - Pre 2010" "2.3 Duratec (160ps)" "4" "Automatic" 2261 "Petrol" 13.7 7.4 9.7 70 232 476 63
"Mercedes-Benz" "CLC-Class" "CLC 180 Kompressor 205 Tyres at rear" "4" "Automatic" 1796 "Petrol" 11.1 5.9 7.8 73 186 479 11
"Jaguar Cars" "X Type" "2.2L Diesel Estate" "4" "Manual" 2198 "Diesel" 8.4 4.9 6.2 72 164 45 197
"Mercedes-Benz" "S-Class (221) Limousine Model Year 2009" "S350 L 235 Tyres at rear" "4" "Automatic" 3498 "Petrol" 14.5 7.7 10.1 72 242 21 11
"Ford" "Fiesta Pre-2006 Model Year" "1.6 Duratorq TDCi" "4" "Manual" 1560 "Diesel" 5.4 4.1 4.5 71 119 173 192
"Dodge" "Journey" "09MY 2.0td Manual 6" "4" "Manual" 1968 "Diesel" 8.4 5.4 6.5 73 170 107 187
"Honda" "Accord Saloon, Model Year 2011" "2.0 i-VTEC ES" "5" "Manual" 1997 "Petrol" 9.6 5.9 7.3 71 168 340 26
"Porsche" "911" "Carrera 4S Gen II Coupé PDK" "5" "Automatic" 3800 "Petrol" 15.8 7.5 10.5 74 247 229 19
"Mercedes-Benz" "E Class (W211) Saloon" "E320 CDI 265 Tyres EU4" "4" "Automatic" 3222 "Diesel" 10.2 6.3 7.7 67 203 77 201
"Ford" "Galaxy, Model Year Pre 2010" "2.0 Duratorq TDCi (140PS) (+DPF)" "4" "Automatic" 1997 "Diesel" 9.7 5.7 7.2 70 189 28 302
"Vauxhall" "Astra, MY2004" "2.2i 16v Convertible 2 Door Convertible From VIN: W0L0TGF674B003671" "4" "Manual" 2198 "Petrol" 12.3 6.6 8.7 74 209 464 35
"Vauxhall" "Corsa 5 Door Hatchback, Model Year 2011" "1.4l 16V (100PS) (129G)" "5" "Automatic" 1398 "Petrol" 7 4.6 5.5 72 129 391 45
"Ford" "Mondeo, Post 2009ﾽ Model Year" "2.0 Duratorq TDCi (140PS) Estate" "4" "Manual" 1997 "Diesel" 7.6 4.9 5.9 71 156 255 237
"Volkswagen" "Beetle" "2.3 V5 (170 bhp)" "4" "Manual" 2324 "Petrol" 12.4 6.8 8.9 74 214 490 50
"Volkswagen" "Crafter" "2.5 TDI 163PS ( Axle Ratio 3.923 )" "4" "Manual" 2461 "Diesel" 13.5 8 10 75 264 329 329
"Skoda" "Fabia Estate" "1.2 12V 70ps" "5" "Manual" 1198 "Petrol" 7.3 4.5 5.5 73 128 696 42
"Renault" "Espace" "2.0 dCi 150 FAP" "4" "Manual" 1995 "Diesel" 9.2 6.4 7.4 76.2 196 309 297
"Mercedes-Benz" "E-Class Saloon, Model Year 2014" "E 220 CDI with 18\" and 19\" rear wheels ECO Start/Stop" "5" "Manual" 2143 "Diesel" 6.1 4.3 5 74 130 210 170
"Renault" "Laguna II Sport Tourer (all versions and trim levels)" "1.8 16V From VIN KG0B05" "3" "Manual" 1783 "Petrol" 10.1 6.3 7.7 71 184 647 72
"BMW" "5 Series F10/F11 From March 2010" "530d Touring - 245/45 R18 tyres front & rear" "6" "Automatic" 2993 "Diesel" 6.6 5.1 5.7 70 149 170 40
"Skoda" "Fabia Estate" "1.4 TDI PD 70bhp 4 & 5 seat" "4" "Manual" 1422 "Diesel" 5.9 4.1 4.7 73 124 20 204
"Skoda" "Superb Estate" "1.4 TSI 125PS" "5" "Manual" 1390 "Petrol" 9 5.6 6.9 73 159 202 19
"Toyota" "Prius Plus MY2012" "T4 1.8 VVT-i hybrid E-CVT" "5" "Automatic" 1798 "Hybrid" 3.8 4.2 4.1 68 96 101 6
"Honda" "Accord Tourer" "2.2 i-CTDi Sport (2004YM)" "4" "Manual" 2204 "Diesel" 7.5 4.8 5.8 72.3 153 200 200
"Hyundai" "ix35" "1.6l GDi 4x2" "5" "Manual" 1591 "Petrol" 8.2 6 6.8 72 158 625 22
"Citroen" "C2" "1.6i 16v VTR" "4" "Automatic" 1587 "Petrol" 8.3 5.2 6.3 68.6 151 404 65
"Renault" "Grand Scènic" "2.0 dCi 175" "4" "Manual" 1995 "Diesel" 9.3 6.5 7.4 69.3 197 326 326
"BMW" "5 Series F10/F11 From March 2010" "530i Touring - 225/55 R17 tyres front & rear" "5" "Automatic" 2996 "Petrol" 10.3 6 7.6 74 177 115 31
"Honda" "Accord Tourer, Model Year 2012" "2.4 i-VTEC EX" "5" "Manual" 2354 "Petrol" 11.6 7 8.7 73 201 246 4
"Mercedes-Benz" "E-Class Estate Model Year 2009" "E200 Kompressor 245/265 Tyres at rear" "4" "Manual" 1798 "Petrol" 12.6 7 9.1 72 217 380 29
"Vauxhall" "Vectra, MY2004" "2.2DTI 16v LS 5 Door Hatchback From VIN: W0L0ZCF6848054022" "3" "Automatic" 2172 "Diesel" 10.3 5.4 7.2 73 194 260 458
"Honda" "Civic Hybrid, Model Year 2010" "1.4 IMA ES Leather Saloon" "5" "Automatic" 1339 "Hybrid" 5.2 4.3 4.6 68 109 190 12
"Mercedes-Benz" "CLC-Class Coupé Model Year 2010" "CLC 180 KOMPRESSOR with 225/50 16\" or 225/45 or 245/40 17\" rear wheels" "4" "Automatic" 1796 "Petrol" 10 5.7 7.3 73 173 286 25
"Vauxhall" "New Astra, MY2007" "2.0i 16v Turbo 200PS 5 Door Estate" "4" "Manual" 1998 "Petrol" 13.2 7.2 9.4 74 226 452 22
"Porsche" "Panamera" "Turbo S PDK" "5" "Automatic" 4806 "Petrol" 17 8.4 11.5 71 270 304 31
"Mercedes-Benz" "S-Class Limousine Model Year 2012" "S 350 BLUETEC with 19 inch/20 inch rear wheels" "6" "Automatic" 2987 "Diesel" 7.9 5.6 6.4 71 168 255 65
"Aston Martin Lagonda" "DB9 Model Year 2010" "Coupé & Convertible March 2010 onwards" "5" "Manual" 5935 "Petrol" 24.6 11.7 16.4 75 389 231 6
"Ford" "Fusion 2004ﾽ to 2005 Model Year" "1.6i Duratec 16V (15 inch tyre)" "4" "Automatic" 1596 "Petrol" 10.4 6.1 7.7 70 184 489 62
"Mercedes-Benz" "S-Class, Model Year 2011" "S 350 BLUETEC with 17\" & 18\" rear wheels" "6" "Automatic" 2987 "Diesel" 9.3 5.3 6.8 71 177 255 65
"Toyota" "Prius, Model Year 2009" "T Spirit 1.8 VVT-i hybrid E-CVT" "5" "Automatic" 1798 "Hybrid" 4 3.8 4 69 92 258 6
"Ford" "Focus C-Max, Pre 2009ﾼ Model Year" "1.6 Duratorq TDCi (90PS)" "4" "Manual" 1560 "Diesel" 5.9 4 4.7 71 124 178 205
"BMW" "3 Series E90/E91/E92/E93" "325i Touring" "4" "Manual" 2996 "Petrol" 9.9 5.6 7.2 71 173 365 46
"Honda" "Civic Model Year 2009" "2.2 i-CTDi Type S GT 3 Door" "4" "Manual" 2204 "Diesel" 6.6 4.3 5.1 71 136 101 164
"Skoda" "Octavia Estate" "1.4 TSI 122PS" "5" "Manual" 1390 "Petrol" 8.5 5 6.3 72 148 333 31
"BMW" "3 Series Saloon F30 From February 2012" "320d EfficientDynamics Saloon - 205/60 R16 tyres front & rear" "6" "Manual" 1995 "Diesel" 5.1 3.6 4.1 73 109 143 47
"Mercedes-Benz" "C-Class Sports Coupé (C203)" "C220 CDI no DPF 245 Tyres at rear" "4" "Manual" 2148 "Diesel" 9 5.4 6.7 72 176 41 243
"Subaru" "Forester AWD (2008 Model Year)" "2.0 X" "4" "Manual" 1994 "Petrol" 12.3 7.5 9.3 71 220 178 19
"Toyota" "Land Cruiser" "3.0 D-4D 5 door" "4" "Manual" 2982 "Diesel" 11.2 8 9.2 71.5 243 40 310
"Mercedes-Benz" "SLK-Class (R171)" "SLK 280 225 Tyres at rear" "4" "Manual" 2997 "Petrol" 13.8 7.2 9.7 75 231 372 12
"Volkswagen" "Scirocco" "1.4 TSI 160PS 7speed DSG Basis" "5" "Automatic" 1390 "Petrol" 8 5.4 6.3 71 147 245 30
"Ford" "Kuga, Model Year Post 2010¾" "2.5 Duratec (200PS)" "4" "Manual" 2521 "Petrol" 13.9 7.6 9.9 70 234 322 29
"Honda" "Insight Model Year 2012" "1.3 IMA HS HS-T HX" "5" "Automatic" 1339 "Hybrid" 4.7 4.5 4.6 69 99 71 7
"Toyota" "Auris Hybrid, Model Year 2010" "T Spirit 1.8 VVT-i hybrid E-CVT" "5" "Automatic" 1798 "Hybrid" 4 4 4 70 93 171 6
"Renault" "Laguna II Sport Tourer" "2.0T 16V (KG0S06)" "3" "Manual" 1998 "Petrol" 11.6 6.7 8.5 71 203 424 31
"Peugeot" "307 Estate / SW" "2.0 (138 bhp)" "3" "Manual" 1997 "Petrol" 11.5 6.3 8.3 73 194 470 56
"Smart" "Fortwo Cabrio" "fortwo cabrio 71 bhp mhd with Softip & 15\" rear wheels" "5" "Automatic" 999 "Petrol" 4.6 4 4.3 72 99 203 11
"Mercedes-Benz" "CL-Class Coupé (C216)" "CL600" "4" "Automatic" 5513 "Petrol" 21.7 10 14.3 72 340 451 29
"McLaren" "MP4-12C" "Coupé (625 Ps) sports muffler" "5" "Automatic" 3799 "Petrol" 18.5 7.8 11.7 74 279 525 22
"Mini" "MINI Hatchback R56" "MINI Cooper S Hatchback - from March 2010" "5" "Manual" 1598 "Petrol" 7.3 5 5.8 74 136 334.1 41.1
"BMW" "1 Series E81/E82/E87/E88" "135i Convertible" "5" "Manual" 2979 "Petrol" 12.2 6.5 8.6 74 200 293 40
"Seat" "New Ibiza" "1.8 20V T (150 PS)" "4" "Manual" 1781 "Petrol" 10.9 6.1 7.9 72 190 401 40
"Audi" "A4 Avant" "2.0 TFSI 211PS Multitronic Stop-Start" "5" "Automatic" 1984 "Petrol" 7.7 5.4 6.2 73 144 314 29
"Daihatsu" "YRV" "M201 1.3L EFi" "3" "Automatic" 1298 "Petrol" 8.9 5.5 6.7 69 156 582 4
"Mercedes-Benz" "E-Class Estate (S211)" "E280 245/265 Tyres at rear" "4" "Automatic" 2997 "Petrol" 14.1 7.6 10 72 239 312 8
"Honda" "Insight Model Year 2010" "1.3 IMA ES 5 door" "5" "Automatic" 1339 "Hybrid" 4.7 4.5 4.6 67 105 60 7
"Mercedes-Benz" "SLK-Class Model Year 2012" "SLK 250 with 17 inch & 18 inch rear wheels ECO Start/Stop" "5" "Automatic" 1796 "Petrol" 8.7 5.4 6.6 73 153 239 20
"Volkswagen" "Sharan" "2.0 (115 PS) S, SE" "4" "Manual" 1984 "Petrol" 12.8 7.4 9.4 74 223 814 70
"Ford" "Focus 2004 Model Year Onwards" "1.6i 16V 4 Door Saloon (14 inch tyre)" "3" "Automatic" 1596 "Petrol" 10.9 6 7.8 70 186 600 100
"Fiat" "Grande Punto" "1.9 MultiJet 130" "4" "Manual" 1910 "Diesel" 7.8 4.7 5.8 75 154 135 218
"Volkswagen" "Beetle Cabriolet, 2013" "2.0 TDI 140PS 70's Edition" "5" "Manual" 1968 "Diesel" 6.4 4.4 5.1 72 134 127 131
"Honda" "Civic 5 Door (2001 YM)" "1.6i  VTEC SE Executive" "3" "Automatic" 1590 "Petrol" 9.8 5.8 7.2 69.9 172 393 80
"Ford" "Mondeo Pre-2004ﾽ Model Year" "2.0 TDCi (130PS) Saloon (16 inch tyre)" "4" "Manual" 1998 "Diesel" 8.1 4.8 6 72 159 101 225
"Renault" "Clio" "Renaultsport 182 (CB220F)" "3" "Manual" 1998 "Petrol" 11.3 6.2 8.1 72.3 194 559 37
"Renault" "New Mégane Coupé" "dCi 106" "5" "Manual" 1461 "Diesel" 4.9 3.5 4.1 73.1 106 317 138
"Mercedes-Benz" "E-Class Saloon (W211)" "E280 CDI with DPF 225 Tyres at rear" "4" "Automatic" 2987 "Diesel" 10.1 5.6 7.2 72 191 31 203
"Maserati" "Grancabrio Sport" "Automatic" "5" "Automatic" 4691 "Petrol" 22.5 9.8 14.5 72.6 337 539 19
"Volkswagen" "Beetle Cabriolet" "1.6 (102 PS)" "4" "Manual" 1595 "Petrol" 10.6 6.1 7.8 73 187 530 31
"Renault" "Laguna II Hatchback" "2.0T 16V (BG0S06)" "3" "Manual" 1998 "Petrol" 11.4 6.4 8.2 71 196 424 31
"Audi" "A5 Sportback" "2.0 TDI 177PS Multitronic" "5" "Automatic" 1968 "Diesel" 5.7 4.4 4.8 72 127 100 110
"Subaru" "Impreza AWD, 2011 MY" "1.5 RC" "5" "Manual" 1498 "Petrol" 9.7 6.4 7.6 73 176 212 18
"Ford" "Mondeo 2004ﾽ Model Year Onwards" "2.5i V6 24V Saloon" "4" "Manual" 2495 "Petrol" 15 7.5 10.2 72 244 554 11
"Peugeot" "508 SW" "1.6 e-HDi 115 EGC" "5" "Automatic" 1560 "Diesel" 4.9 3.9 4.3 71.3 110 179 162
"Mercedes-Benz" "E-Class Cabriolet Model Year 2012" "E 350 CDI with 17 inch rear wheels" "5" "Automatic" 2987 "Diesel" 7.3 5.3 6 71 159 359 152
"BMW" "5 Series F10/F11 From March 2010" "520d Touring - 245/40 R19 tyres front & rear" "6" "Automatic" 1995 "Diesel" 6 4.8 5.2 73 138 175 41
"Subaru" "Legacy (2008 Model Year)" "2.0 AWD Sports Tourer (with sunroof)" "4" "Manual" 1998 "Diesel" 7.2 5.1 5.8 70.5 154 262 241
"Ford" "Mondeo, Model Year Post 2010" "1.6 Duratec (110PS) Saloon" "4" "Manual" 1596 "Petrol" 10 5.6 7.2 72 170 576 61
"Toyota" "Prius Model Year 2009" "T3 1.8VVT-i hybrid E-CVT" "5" "Automatic" 1798 "Hybrid" 3.9 3.7 3.9 69 89 258 5.8
"Vauxhall" "Insignia MY2009 5 Door Hatchback" "2.0CDTi 16v (130PS)" "5" "Automatic" 1956 "Diesel" 9.3 5.3 6.8 74 179 65.6 154
"Toyota" "Prius MY2012" "T4 1.8 VVT-i hybrid E-CVT" "5" "Automatic" 1798 "Hybrid" 4 3.8 4 69 92 258 6
"Skoda" "New Octavia Estate" "2.0 FSI 200ps DSG vRS" "4" "Automatic" 1984 "Petrol" 10.4 6.2 7.7 72 180 167 25
"Suzuki" "SX4" "1.6 4WD Hatchback From VIN TSMEYB21S00300082" "4" "Manual" 1586 "Petrol" 8.7 5.9 6.9 71 164 324 12
"Chrysler Jeep" "Jeep Grand Cherokee (02 Model Year)" "4.7L Overland" "3" "Automatic" 4701 "Petrol" 22.3 13 16.5 76 385 1528 34
"Renault" "Laguna II Ph 2 Hatchback" "1.9 dCi 120 (BG1/CGB6)" "3" "Manual" 1870 "Diesel" 7.2 4.6 5.5 71.2 150 530 465
"Toyota" "Previa" "2.0 D-4D" "3" "Manual" 1995 "Diesel" 9 6.1 7.2 73.9 191 120 420
"BMW" "1 Series E81/E82/E87/E88" "120d Coupé - with particle filter" "4" "Automatic" 1995 "Diesel" 7.2 4.4 5.4 69 144 194 192
"Mercedes-Benz" "B-Class (245) Saloon Model Year 2009" "B 200 CDI with DPF 205 Tyres at rear" "4" "Automatic" 1992 "Diesel" 7.6 5 6 71 159 124 223
"Mercedes-Benz" "New C-Class (W203) Saloon" "C 270 CDI" "3" "Manual" 2685 "Diesel" 9.7 5.1 6.8 72 181 400 400
"Renault" "Clio" "1.5 dCi 80 (C/BB08EF)" "3" "Manual" 1461 "Diesel" 5.3 3.6 4.2 72.2 110 323 395
"Honda" "Insight Model Year 2010" "1.3 IMA ES-T 5 door" "5" "Automatic" 1339 "Hybrid" 4.7 4.5 4.6 67 105 60 7
"Mercedes-Benz" "E-Class Estate, Model Year 2012" "E 250 CDI with 17\" rear wheels ECO Start/Stop" "5" "Manual" 2143 "Diesel" 6.6 4.5 5.3 73 139 210 170
"Saab" "9-5 MY2007 5 Door Estate" "2.0 LPT" "4" "Automatic" 1985 "Petrol" 15.1 7.9 10.6 69 251 449 14
"Volkswagen" "Passat Estate" "2.5 V6 TDI Tiptronic (150 bhp)" "3" "Automatic" 2496 "Diesel" 11.8 6.5 8.4 74 227 86 418
"Toyota" "Avensis Model Year 2010" "TR 4 door 2.2 D-4D 150 6-speed Manual" "5" "Manual" 2231 "Diesel" 7 4.7 5.5 72 147 161.2 161.8
"Vauxhall" "Astra MY2009 3 Door Hatchback" "1.9CDTi 16v 150PS" "4" "Manual" 1910 "Diesel" 7.2 4.7 5.6 74 149 191 196
"Volkswagen" "Polo 3 / 5 Door" "1.4 TDI (80PS) (with A/C) with DPF BLUEMOTION" "4" "Manual" 1422 "Diesel" 5.1 3.4 4 71 104 237 227
"Lotus" "Elise" "Elise" "3" "Manual" 1796 "Petrol" 9.7 6.1 7.4 74 177 600 100
